name,api
adssdk,"['Active', 'Network', 'System', 'add', 'Empty', 'remove', 'Back', 'Connecting', 'Connected', 'All', 'Info', 'Pressed', 'get', 'Service', 'is', '<init>', 'Or', 'finish', 'Views', 'View', 'on']"
cara-memasang-iklan-reward-admob-di-aplikasi-kita-untuk-android-studio,"['Intent', 'Parameter', 'abs', 'red', 'Preferences', 'update', 'Context', 'message', 'Loader', 'Char', 'flush', 'Viewport', 'Realtime', 'Bottom', 'Audio', 'format', 'Codec', 'Terminated', 'remove', 'Manager', 'Negative', 'Paths', 'Executor', 'Country', 'Positive', 'Level', 'String', 'Index', 'Playing', 'Loggable', 'Scheme', 'play', 'Clip', 'initialize', 'Surface', 'interrupt', 'Layout', 'Private', 'Scroll', 'Throw', 'Streaming', 'Listener', 'Texture', 'Hit', 'remap', 'in', 'Override', 'dismiss', 'Speakerphone', 'array', 'fill', 'new', 'Scale', 'Description', 'Drawing', 'Trace', 'print', 'concat', 'stop', 'reset', 'total', 'line', 'keys', 'Caches', 'File', 'Stopped', 'starts', 'unpark', 'Support', 'Visible', 'Multiple', 'Tag', 'Buffering', 'abandon', 'Thread', 'Curve', 'yield', 'Nanos', 'hash', 'value', 'open', 'synchronized', 'values', 'On', 'Method', 'SQL', 'Raw', 'Interactive', 'Show', 'execute', 'Bar', 'for', 'source', 'Volume', 'Target', 'Axis', 'B', 'split', 'unmodifiable', 'App', 'draw', 'end', 'ends', 'Strong', 'History', 'poll', 'Insets', 'run', 'Coordinate', 'float', 'move', 'Bounds', 'Data', 'Destroy', 'Password', 'Tree', 'should', 'Active', 'Started', 'Position', 'Read', 'Properties', 'Log', 'Choose', 'Front', 'max', 'Section', 'Double', 'Client', 'Calling', 'Pair', 'Motion', 'Zoom', 'Accelerated', 'Bitmap', 'Timeout', 'Finish', 'Ui', 'Cutout', 'Chooser', 'Generic', 'Notification', 'Generator', 'Collection', 'iterator', 'Pointer', 'Mixed', 'Rates', 'Matrix', 'Make', 'next', 'Metered', 'Paused', 'Programiv', 'delete', 'Point', 'Absolute', 'Language', 'default', 'Created', 'Size', 'Allocation', 'Digit', 'Use', 'shift', 'Dom', 'Slop', 'contains', 'Intrinsic', 'Widths', 'seek', 'Global', 'number', 'sort', 'Title', 'Requested', 'Javascript', 'Program', 'e', 'Superclass', 'Done', 'Root', 'encoded', 'green', 'Exit', 'Universal', 'Instance', 'Multi', 'Measured', 'Infos', 'Upper', 'Significant', 'callable', 'multiply', 'Mode', 'Cookie', 'Termination', 'Custom', 'Rects', 'mkdirs', 'Dimension', 'Color', 'Receive', 'copy', 'Settings', 'Url', 'Activities', 'Format', 'Right', 'opt', 'group', 'Tex', 'Validate', 'Buffer', 'Scanner', 'Session', 'load', 'Loading', 'trim', 'Na', 'Next', 'Gen', 'Play', 'Height', 'Pool', 'Hash', 'Outside', 'Feature', 'Pow', 'Channel', 'External', 'Async', 'register', 'recycle', 'Uniform1f', 'Sample', 'Access', 'Cache', 'Scaling', 'Ringer', 'Code', 'Number', 'double', 'interrupted', 'Activity', 'No', 'Headers', 'Chars', 'Input', 'edit', 'User', 'Gesture', 'Video', 'Flags', 'Attrib', 'is', 'clone', 'identity', '<init>', 'Resources', 'Header', 'Apply', 'Readable', 'Logger', 'd', 'Transaction', 'finish', 'UR', 'nano', 'Diagnostic', 'Textures', 'Touchable', 'Rule', 'Showing', 'Requires', 'Current', 'Secure', 'Max', 'order', 'Source', 'Cancel', 'offer', 'Phase', 'Updater', 'Visibility', 'Assignable', 'Child', 'Port', 'test', 'Config', 'Cached', 'Preference', 'Badge', 'A', 'shutdown', 'Array', 'exists', 'set', 'Stack', 'Segment', 'Prime', 'release', 'Connected', 'Scanning', 'Orientation', 'Enabled', 'Each', 'int', 'Latitude', 'Type', 'Cancelled', 'Letter', 'Output', 'Launch', 'Runtime', 'Cofactor', 'Quota', 'connect', 'Probable', 'begin', 'Key', 'Leading', 'on', 'Integer', 'Int', 'binary', 'Do', 'marshall', 'position', 'flip', 'sqrt', 'Restricted', 'notify', 'replace', 'override', 'Configuration', 'Extra', 'Successful', 'add', 'By', 'sleep', 'Millis', 'allocate', 'Playback', 'park', 'At', 'Identifier', 'U8_4', 'Instances', 'Web', 'Built', 'Handler', 'Cipher', 'Privileged', 'Attributes', 'get', 'resolve', 'logp', 'Text', 'data', 'Parcelable', 'Now', 'evaluate', 'wait', 'list', 'Category', 'Masked', 'Swap', 'Prepared', 'Detached', 'pause', 'Console', 'write', 'Single', 'Save', 'Public', 'Remaining', 'Parameteri', 'Types', 'Alive', 'find', 'Declared', 'Matrix3fv', 'renderer', 'Params', 'Network', 'destroy', 'query', 'Timestamp', 'Fields', 'decode', 'Redirects', 'Attached', 'insert', 'unconfigurable', 'S', 'database', 'Bitrate', 'Alpha', 'Clipping', 'Get', 'Segments', 'With', 'Changed', 'Padding', 'min', 'Messages', 'await', 'Upon', 'Can', 'Uniform', 'While', 'Direct', 'Running', 'argb', 'Uid', 'signum', 'native', 'Cause', 'bit', 'mod', 'unmarshall', 'put', 'index', 'Pipe', 'Opt', 'looking', 'Vector', 'Automatically', 'Sensor', 'Receiver', 'Bit', 'Cleartext', 'W', 'Duration', 'Scaled', 'Object', 'Accessible', 'v', 'null', 'parse', 'matcher', 'P', 'convert', 'Load', 'Draw', 'peek', 'Arrays', 'read', 'Zeros', 'close', 'Real', 'Event', 'scheme', 'compile', 'Interface', 'Looper', 'Shown', 'Shape', 'Resumed', 'Float', 'matches', 'AAD', 'queue', 'And', 'Transition', 'Initialize', 'Resource', 'disconnect', 'Provider', 'Priority', 'Historical', 'In', 'arraycopy', 'Canonical', 'Host', 'Zone', 'Focus', 'Not', 'ordinal', 'confirm', 'compare', 'rgb', 'Container', 'Encoded', 'Modified', 'Connect', 'Resume', 'Top', 'Rotation', 'apply', 'block', 'post', 'Longitude', 'sin', 'send', 'Corner', 'Bundle', 'Value', 'Gravity', 'Parent', 'System', 'Content', 'Vertex', 'substring', 'obtain', 'If', 'Order', 'Commands', 'length', 'Callback', 'Categories', 'All', 'char', 'as', 'Update', 'Pending', 'Overview', 'size', 'create', 'schedule', 'Rate', 'Music', 'Long', 'Ls', 'Column', 'EGL', 'Class', 'Extras', 'Search', 'blue', 'Charset', 'Display', 'View', 'round', 'Absent', 'Dir', 'Capabilities', 'do', 'List', 'Constructor', 'Available', 'Pbuffer', 'Decor', 'Drawable', 'Pixel', 'intern', 'Locked', 'current', 'Uri', 'Script', 'my', 'rewind', 'append', 'Storage', 'Directory', 'Info', 'Encoder', 'cancel', 'Request', 'Pause', 'finalize', 'configure', 'Hardware', 'Service', 'Touch', 'Shader', 'First', 'will', 'UUID', 'Allow', 'New', 'Case', 'Buffers', 'Base', 'exec', 'Secret', 'Minimum', 'URI', 'atan2', 'Heights', 'Field', 'Frame', 'entry', 'State', 'Memory', 'call', 'i', 'quit', 'Metrics', 'Database', 'Create', 'IV', 'Accuracy', 'build', 'Will', 'submit', 'Component', 'Vertical', 'Bytes', 'lazy', 'Window', 'Name', 'unregister', 'N', 'invoke', 'bring', 'skip', 'normalize', 'Pid', 'Agent', 'Default', 'are', 'show', 'key', 'Min', 'Rect', 'Image', 'Byte', 'Exception', 'Change', 'Token', 'w', 'Destination', 'Parcel', 'singleton', 'Permitted', 'Z', 'Null', 'Boolean', 'Observer', 'X', 'For', 'Socket', 'Destroyed', 'Empty', 'last', 'Pattern', 'from', 'Follow', 'Compile', 'Executable', 'Screen', 'Refresh', 'Shutdown', 'Out', 'Package', 'count', 'Typeface', 'Traffic', 'Or', 'Error', 'Y', 'Count', 'wrap', 'Lower', 'Controls', 'layout', 'Final', 'unbind', 'Last', 'Application', 'random', 'Items', 'egl', 'URL', 'increment', 'Set', 'Suites', 'unread', 'Simple', 'dequeue', 'cast', 'Typed', 'Radius', 'free', 'Shaderiv', 'Down', 'pattern', 'From', 'enqueue', 'Infinite', 'Resolver', 'take', 'cos', 'Media', 'Hidden', 'Finishing', 'Property', 'Core', 'subtract', 'Track', 'Open', 'Terminate', 'Shared', 'to', 'Stream', 'decrement', 'has', 'Local', 'invalidate', 'Phone', 'Button', 'uptime', 'Link', 'generate', 'Affine', 'Blob', 'code', 'Keyguard', 'Clickable', 'Protocol', 'gl', 'Map', 'ceil', 'Bits', 'Files', 'Stats', 'Neutral', 'Most', 'remaining', 'Block', 'Action', 'Completion', 'Bind', 'duplicate', 'prepare', 'Paint', 'Enable', 'Range', 'join', 'Of', 'Width', 'compress', 'request', 'Bounding', 'clear', 'Main', 'Delete', 'Id', 'capacity', 'elapsed', 'Hex', 'Delay', 'Background', 'Binder', 'digit', 'equals', 'Message', 'init', 'slice', 'empty', 'JSON', 'Fixed', 'Ignore', 'Length', 'name', 'Factory', 'Mac', 'Tasks', 'Increment', 'boolean', 'Measure', 'Valid', 'Crash', 'digest', 'Click', 'SSL', 'did', 'encode', 'Margins', 'Connection', 'Time', 'Location', 'Lifecycle', 'start', 'Wide', 'Callbacks', 'Head', 'Stereo', 'Path', 'Response', 'Windows', 'Query', 'To', 'Detailed', 'Operator', 'Alignment', 'Authorities', 'pop', 'long', 'Closed', 'allow', 'Supported', 'Short', 'Processes', 'Attach', 'Java', 'Names', 'Fully', 'Scheduled', 'Views', 'of', 'Delayed', 'limit', 'Least', 'Writable']"
admobkit-android,"['Tree', 'Next', 'Global', 'Time', 'Value', 'System', 'hash', 'Metrics', 'value', 'Of', 'Width', 'add', 'Observer', 'Code', 'current', 'Millis', 'Empty', 'Stack', 'On', 'Manager', 'iterator', 'append', 'String', 'Info', 'next', 'int', 'Layout', 'get', 'Name', 'Listener', 'is', '<init>', 'to', 'Package', 'has', 'd', 'Trace', 'print', 'contains', 'boolean', 'Display', 'View']"
adplay,"['Started', 'apply', 'println', 'parse', 'Action', 'post', 'i', 'replace', 'start', 'Cache', 'Page', 'Event', 'Metrics', 'Extra', 'Script', 'set', 'Activity', 'Stack', 'All', 'append', 'Directory', 'Int', 'String', 'Enabled', 'Dimension', 'delete', 'Type', 'split', 'get', 'Result', 'Property', 'equals', 'Hit', 'Touch', '<init>', 'is', 'to', 'Java', 'd', 'Finished', 'Test', 'list', 'Trace', 'print', 'Display', 'on', 'Delayed', 'File', 'Dir', 'trim']"
subway-ads,"['parse', 'Context', 'Value', 'e', 'Visibility', 'start', 'hash', 'value', 'Code', 'Of', 'Extra', 'clear', 'set', 'Activity', 'On', 'append', 'String', 'get', 'Video', 'Listener', '<init>', 'Message', 'Click', 'to', 'put', 'Base', 'boolean', 'URI', 'pause']"
HitzAds,"['Object', 'parse', 'Completion', 'Visibility', 'start', 'System', 'hash', 'Of', 'value', 'Code', 'add', 'length', 'set', 'Activity', 'On', 'Stack', 'pause', 'String', 'next', 'Color', 'size', 'Background', 'get', 'Video', 'Listener', 'Service', 'equals', '<init>', 'Text', 'Message', 'inflate', 'JSON', 'd', 'Trace', 'print', 'URI', 'Click', 'Int']"
GAlette,"['Class', 'get', '<init>']"
sa-sdk-android-plugin,"['Parameter', 'Intent', 'abs', 'Preferences', 'Context', 'Char', 'Loader', 'Address', 'Alias', 'flush', 'Owner', 'Realtime', 'format', 'remove', 'Manager', 'Executor', 'Negative', 'Connecting', 'Positive', 'String', 'Index', 'Scheme', 'Layout', 'Scroll', 'Streaming', 'Listener', 'dismiss', 'array', 'new', 'Description', 'Trace', 'print', 'kill', 'keys', 'Caches', 'File', 'Process', 'starts', 'Visible', 'Tag', 'Thread', 'hash', 'uncaught', 'value', 'open', 'Subtype', 'values', 'On', 'Method', 'SQL', 'execute', 'Bar', 'for', 'Round', 'split', 'unmodifiable', 'App', 'draw', 'end', 'ends', 'poll', 'run', 'float', 'move', 'Lines', 'Bounds', 'Data', 'Tree', 'Active', 'Animation', 'Read', 'Position', 'max', 'Double', 'Timeout', 'Accelerated', 'Bitmap', 'make', 'Ui', 'iterator', 'Matrix', 'after', 'next', 'delete', 'Point', 'Radio', 'Size', 'Use', 'reverse', 'contains', 'Privileges', 'match', 'Global', 'sort', 'Title', 'Javascript', 'e', 'Superclass', 'Root', 'encoded', 'Focusable', 'Instance', 'Upper', 'Mode', 'Dimension', 'Settings', 'Color', 'copy', 'opt', 'path', 'Packed', 'group', 'Appended', 'load', 'trim', 'Next', 'Height', 'Pool', 'register', 'recycle', 'Stroke', 'Code', 'Number', 'Activity', 'Input', 'edit', 'User', 'clone', 'is', '<init>', 'Resources', 'Header', 'Cancelable', 'Transaction', 'finish', 'Density', 'Max', 'Methods', 'offer', 'Visibility', 'Assignable', 'Present', 'Child', 'Config', 'shutdown', 'Array', 'exists', 'Points', 'set', 'Stack', 'Segment', 'Line', 'Entry', 'Connected', 'Enabled', 'int', 'Type', 'Output', 'Cursor', 'connect', 'begin', 'Key', 'on', 'Integer', 'Int', 'Do', 'notify', 'replace', 'Successful', 'Extra', 'Static', 'add', 'By', 'sleep', 'Millis', 'allocate', 'At', 'Handler', 'Attributes', 'get', 'Text', 'with', 'Interpolator', 'list', 'Detached', 'Mesh', 'Daemon', 'write', 'Single', 'Public', 'Types', 'Alive', 'find', 'Declared', 'Params', 'Network', 'query', 'Rules', 'Fields', 'Redirects', 'decode', 'insert', 'Attached', 'Font', 'Alpha', 'Get', 'Segments', 'With', 'Assets', 'min', 'await', 'Messages', 'Changed', 'Upon', 'Running', 'Cause', 'put', 'index', 'restore', 'Declaring', 'Duration', 'Object', 'Accessible', 'Proxy', 'parse', 'matcher', 'read', 'Anti', 'Circle', 'close', 'Real', 'scheme', 'Shape', 'Interface', 'Looper', 'Shown', 'compile', 'height', 'matches', 'And', 'Resource', 'disconnect', 'Off', 'Conflict', 'Provider', 'Priority', 'arraycopy', 'Canonical', 'Host', 'compare', 'Connect', 'Encoded', 'Top', 'Rotation', 'apply', 'post', 'send', 'Corner', 'Value', 'Parent', 'System', 'Content', 'substring', 'obtain', 'Soft', 'length', 'quote', 'char', 'All', 'schedule', 'size', 'create', 'Rate', 'Long', 'Column', 'Class', 'Extras', 'Device', 'Align', 'Fill', 'Display', 'View', 'do', 'Capabilities', 'List', 'Constructor', 'Decor', 'Drawable', 'Annotation', 'current', 'Authority', 'Script', 'my', 'Arc', 'Pos', 'append', 'Listeners', 'Layer', 'Info', 'cancel', 'Pressed', 'Request', 'Hardware', 'Service', 'Shader', 'First', 'UUID', 'Case', 'Base', 'exec', 'Return', 'URI', 'After', 'Field', 'entry', 'State', 'Wrapped', 'raw', 'i', 'Metrics', 'Database', 'Create', 'build', 'Component', 'Bytes', 'Window', 'Name', 'Execute', 'save', 'unregister', 'invoke', 'Agent', 'Pid', 'Default', 'show', 'key', 'Rect', 'Group', 'Byte', 'sub', 'Exception', 'Footer', 'Change', 'Translation', 'Null', 'Checked', 'Boolean', 'Observer', 'X', 'Socket', 'Destroyed', 'Empty', 'last', 'Follow', 'Screen', 'Style', 'Expandable', 'Package', 'count', 'Imei', 'Or', 'Error', 'Y', 'Count', 'Lower', 'Selectable', 'Final', 'Last', 'Left', 'Application', 'Modifiers', 'random', 'Uncaught', 'increment', 'Set', 'Simple', 'Radius', 'Down', 'From', 'Resolver', 'take', 'Property', 'Finishing', 'Rating', 'Shared', 'to', 'Stream', 'decrement', 'has', 'invalidate', 'Local', 'generate', 'exit', 'Item', 'Button', 'hide', 'Protocol', 'Map', 'Bits', 'Action', 'Meid', 'Paint', 'Of', 'Width', 'compress', 'clear', 'Main', 'As', 'Id', 'width', 'elapsed', 'Background', 'Carrier', 'equals', 'Message', 'init', 'Adapter', 'empty', 'JSON', 'Fixed', 'Ignore', 'Length', 'name', 'Factory', 'Mac', 'Increment', 'boolean', 'digest', 'Click', 'Repeat', 'SSL', 'Label', 'Capability', 'encode', 'Connection', 'Time', 'Lifecycle', 'Location', 'start', 'Hint', 'Callbacks', 'Path', 'Response', 'Query', 'To', 'Sim', 'Row', 'Operator', 'Progress', 'pow', 'long', 'Oval', 'Processes', 'Java', 'Names', 'offset', 'Transport', 'Views', 'Interfaces', 'Delayed']"
android-collar,"['Path', 'println', 'Separator', 'get', 'Trace', 'Empty', 'print', 'Absolute', 'Stack', 'is', '<init>', 'line', 'append', 'to', 'String']"
android-sdk,"['v', 'Next', 'Accessible', 'Object', 'null', 'Preferences', 'update', 'Receivers', 'Context', 'matcher', 'Feature', 'Channel', 'External', 'Address', 'peek', 'register', 'read', 'Queue', 'Safely', 'close', 'Null', 'Code', 'Boolean', 'Number', 'double', 'Looper', 'format', 'Empty', 'remove', 'Float', 'Activity', 'Manager', 'matches', 'Country', 'Connecting', 'String', 'Input', 'edit', 'disconnect', 'Streaming', 'is', 'BSSID', '<init>', 'Resources', 'Package', 'Logger', 'Provider', 'new', 'd', 'Or', 'Canonical', 'commit', 'Error', 'Trace', 'print', 'rename', 'compare', 'ordinal', 'Final', 'Last', 'Application', 'apply', 'Serial', 'post', 'random', 'Longitude', 'Cell', 'send', 'Value', 'Thread', 'Set', 'System', 'Content', 'hash', 'obtain', 'Simple', 'value', 'open', 'Array', 'exists', 'synchronized', 'Subtype', 'SSID', 'length', 'force', 'set', 'values', 'Stack', 'Method', 'Line', 'char', 'All', 'Connected', 'Resolver', 'Enabled', 'ID', 'int', 'for', 'size', 'Latitude', 'Type', 'split', 'Property', 'Byte', 'unmodifiable', 'App', 'end', 'Long', 'Output', 'Shared', 'to', 'Stream', 'has', 'Class', 'Chunked', 'Extras', 'Phone', 'Device', 'float', 'Map', 'begin', 'Key', 'Display', 'Files', 'on', 'Integer', 'Int', 'Dir', 'Do', 'Active', 'Block', 'do', 'Action', 'position', 'List', 'transfer', 'Constructor', 'Available', 'Front', 'replace', 'Double', 'Calling', 'Of', 'Extra', 'add', 'By', 'clear', 'current', 'Millis', 'Main', 'iterator', 'append', 'Storage', 'Directory', 'At', 'Id', 'Identifier', 'Info', 'next', 'Hex', 'check', 'Request', 'get', 'Iso', 'Service', 'equals', 'Language', 'Size', 'Message', 'init', 'Known', 'UUID', 'Length', 'name', 'Mac', 'contains', 'boolean', 'digest', 'Label', 'seek', 'write', 'encode', 'entry', 'State', 'Connection', 'Time', 'i', 'Declared', 'Lifecycle', 'Location', 'Self', 'Blocks', 'quit', 'start', 'Network', 'Callbacks', 'query', 'Broadcast', 'Path', 'Metrics', 'Response', 'Instance', 'decode', 'Permission', 'Mode', 'To', 'Sim', 'Component', 'Operator', 'mkdirs', 'Receive', 'Bytes', 'min', 'Messages', 'Name', 'Execute', 'Accounts', 'long', 'Running', 'Processes', 'Post', 'Default', 'put', 'Fully', 'key', 'Delayed', 'load', 'log', 'trim']"
analytics-android-integration-firebase,"['entry', 'Next', 'Value', 'replace', 'Double', 'Set', 'substring', 'value', 'Of', 'double', 'length', 'Activity', 'Manager', 'iterator', 'Component', 'append', 'String', 'Info', 'next', 'int', 'min', 'get', 'Name', 'long', 'Long', '<init>', 'to', 'Package', 'has', 'Label', 'put', 'contains', 'Key', 'Int', 'load', 'trim']"
Branch-Android-Invite-SDK,"['Object', 'Accessible', 'Parameter', 'Next', 'Hierarchical', 'Intent', 'parse', 'Preferences', 'matcher', 'Context', 'Proxy', 'Feature', 'Loader', 'Height', 'Padding', 'Address', 'register', 'read', 'flush', 'close', 'Code', 'Boolean', 'compile', 'scheme', 'For', 'format', 'Looper', 'Received', 'Empty', 'remove', 'matches', 'Activity', 'Manager', 'Float', 'Country', 'Negative', 'Positive', 'String', 'Scheme', 'Input', 'Clip', 'Page', 'edit', 'User', 'disconnect', 'Flags', 'Listener', 'is', '<init>', 'Resources', 'Header', 'Cancelable', 'Package', 'dismiss', 'count', 'Https', 'Priority', 'new', 'arraycopy', 'd', 'Or', 'Host', 'In', 'Error', 'Trace', 'Y', 'print', 'Count', 'authority', 'Lower', 'Connect', 'keys', 'Inet', 'Showing', 'Current', 'Fading', 'center', 'starts', 'Application', 'apply', 'post', 'random', 'Tag', 'Value', 'Thread', 'URL', 'Visibility', 'Primary', 'Set', 'Child', 'System', 'hash', 'Content', 'substring', 'Simple', 'value', 'open', 'Array', 'cast', 'names', 'synchronized', 'length', 'set', 'Stack', 'On', 'Down', 'Method', 'release', 'Line', 'All', 'as', 'Entry', 'From', 'Connected', 'Resolver', 'Enabled', 'int', 'for', 'available', 'size', 'schedule', 'Type', 'split', 'Addresses', 'Property', 'Long', 'Output', 'Shared', 'ends', 'to', 'Stream', 'has', 'Class', 'Local', 'Extras', 'Launch', 'Loopback', 'Item', 'Plain', 'run', 'Button', 'connect', 'Divider', 'Key', 'Fill', 'Bounds', 'Data', 'View', 'on', 'Display', 'Int', 'round', 'Stats', 'Neutral', 'Icon', 'Theme', 'Do', 'Offset', 'Started', 'Active', 'Appearance', 'Animation', 'Action', 'List', 'Position', 'Constructor', 'Read', 'max', 'Decor', 'Drawable', 'replace', 'Double', 'Client', 'Calling', 'Of', 'Extra', 'add', 'acquire', 'sleep', 'Timeout', 'current', 'Millis', 'clear', 'perform', 'Main', 'Script', 'my', 'make', 'iterator', 'append', 'Id', 'At', 'Identifier', 'Info', 'next', 'Layer', 'Web', 'Hex', 'check', 'Attributes', 'Background', 'get', 'Animations', 'Result', 'Request', 'Service', 'equals', 'Language', 'Horizontal', 'Text', 'Message', 'Adapter', 'First', 'Parcelable', 'JSON', 'UUID', 'Ignore', 'Interpolator', 'list', 'Case', 'Category', 'Selector', 'Base', 'contains', 'boolean', 'Click', 'Label', 'After', 'write', 'bind', 'Field', 'encode', 'entry', 'Memory', 'Connection', 'Start', 'Time', 'Title', 'i', 'find', 'Declared', 'Lifecycle', 'e', 'Self', 'start', 'Network', 'Callbacks', 'Metrics', 'query', 'Response', 'Instance', 'Create', 'decode', 'Query', 'Permission', 'Mode', 'Edge', 'build', 'Operator', 'Color', 'Settings', 'copy', 'Url', 'With', 'Assets', 'Bytes', 'await', 'Window', 'Name', 'Upon', 'Execute', 'opt', 'Activities', 'min', 'unregister', 'argb', 'Post', 'invoke', 'Java', 'Names', 'Dismiss', 'Agent', 'Finished', 'Default', 'index', 'put', 'Serializable', 'Opt', 'show', 'key', 'Views', 'Interfaces', 'Delayed', 'load', 'Duration', 'trim']"
atinternet-android-sdk,"['Scaled', 'Object', 'Next', 'Exception', 'Height', 'parse', 'Preferences', 'update', 'w', 'Context', 'convert', 'singleton', 'Draw', 'Alias', 'register', 'read', 'close', 'Real', 'Event', 'Code', 'Boolean', 'double', 'X', 'For', 'format', 'Looper', 'Empty', 'remove', 'last', 'Activity', 'Executor', 'from', 'Manager', 'Country', 'Variant', 'String', 'Index', 'Shutdown', 'edit', 'interrupt', 'Resource', 'Layout', 'disconnect', 'Listener', 'is', '<init>', 'Resources', 'Package', 'Readable', 'new', 'arraycopy', 'In', 'd', 'Canonical', 'Host', 'Trace', 'Y', 'nano', 'print', 'Count', 'Lower', 'Connect', 'Final', 'keys', 'starts', 'apply', 'Application', 'Task', 'post', 'random', 'Uncaught', 'Value', 'Thread', 'Visibility', 'Set', 'System', 'hash', 'uncaught', 'substring', 'value', 'Content', 'shutdown', 'Array', 'If', 'open', 'length', 'set', 'values', 'Stack', 'On', 'Method', 'SQL', 'Entry', 'All', 'char', 'Overlays', 'Raw', 'as', 'Resolver', 'execute', 'int', 'for', 'schedule', 'size', 'available', 'create', 'Type', 'split', 'Property', 'Long', 'Shared', 'to', 'Stream', 'Column', 'has', 'Class', 'generate', 'Immediate', 'Item', 'Paddings', 'run', 'connect', 'Protocol', 'move', 'first', 'Key', 'Fill', 'Data', 'View', 'Display', 'on', 'Absent', 'Int', 'Active', 'Block', 'Animation', 'do', 'Action', 'List', 'Read', 'sqrt', 'max', 'notify', 'Decor', 'Drawable', 'replace', 'Double', 'Configuration', 'Of', 'Width', 'add', 'By', 'Extra', 'Timeout', 'sleep', 'current', 'Millis', 'clear', 'Bitmap', 'Main', 'my', 'Ui', 'As', 'iterator', 'append', 'Id', 'At', 'Encryption', 'Identifier', 'Info', 'next', 'Handler', 'Hex', 'cancel', 'Delay', 'Request', 'Background', 'get', 'Result', 'delete', 'Service', 'equals', 'Touch', 'Language', 'Text', 'init', 'Message', 'Size', 'Adapter', 'First', 'inflate', 'Now', 'Fixed', 'UUID', 'Ignore', 'JSON', 'Case', 'exec', 'contains', 'boolean', 'digest', 'Secret', 'Minimum', 'Click', 'After', 'encode', 'entry', 'Single', 'Connection', 'Time', 'raw', 'i', 'find', 'e', 'Lifecycle', 'start', 'Network', 'Callbacks', 'Metrics', 'Database', 'Response', 'Instance', 'IV', 'decode', 'Query', 'insert', 'To', 'build', 'Operator', 'Color', 'With', 'Changed', 'Bytes', 'Padding', 'Window', 'Name', 'pow', 'long', 'invoke', 'can', 'Cause', 'Modes', 'Default', 'put', 'index', 'key', 'Scheduled', 'Views', 'Image', 'Delayed', 'load', 'Writable', 'Duration']"
callstats-android,"['Next', 'Single', 'println', 'Application', 'parse', 'update', 'Memory', 'Context', 'Time', 'Connection', 'Value', 'Thread', 'register', 'read', 'calculate', 'Signal', 'Double', 'Set', 'System', 'hash', 'value', 'Code', 'Of', 'add', 'Array', 'double', 'Instance', 'current', 'Millis', 'Extra', 'Empty', 'values', 'To', 'Stack', 'Executor', 'Receiver', 'Traces', 'Line', 'iterator', 'append', 'All', 'Level', 'String', 'Info', 'next', 'execute', 'Hex', 'int', 'schedule', 'size', 'cancel', 'Bytes', 'get', 'Rssi', 'Localized', 'long', 'Long', 'is', 'Service', '<init>', 'Message', 'to', 'has', 'poll', 'new', 'put', 'Case', 'key', 'compare', 'Bits', 'contains', 'Key', 'Lower', 'boolean', 'digest', 'Int']"
analytics-android-integration-google-analytics,"['Exception', 'Parameter', 'Next', 'matcher', 'parse', 'List', 'Uncaught', 'singleton', 'Value', 'replace', 'substring', 'value', 'Of', 'compile', 'Query', 'length', 'set', 'matches', 'build', 'iterator', 'append', 'String', 'Handler', 'next', 'size', 'get', 'equals', '<init>', 'to', 'empty', 'has', 'Default', 'Map', 'Key', 'Int']"
eanalytics-android,"['Next', 'Preferences', 'matcher', 'w', 'Address', 'read', 'close', 'Code', 'Boolean', 'compile', 'Looper', 'Empty', 'remove', 'Manager', 'Executor', 'String', 'Input', 'edit', 'is', '<init>', 'Package', 'd', 'new', 'Or', 'commit', 'Trace', 'print', 'rename', 'Connect', 'keys', 'File', 'Current', 'starts', 'Application', 'apply', 'send', 'Thread', 'System', 'Content', 'Simple', 'open', 'value', 'Subtype', 'length', 'set', 'Stack', 'Method', 'Line', 'Connected', 'Resolver', 'execute', 'available', 'size', 'Type', 'Property', 'Output', 'Shared', 'to', 'Stream', 'has', 'connect', 'Files', 'Dir', 'Do', 'Active', 'Read', 'Calling', 'Of', 'add', 'Timeout', 'current', 'Millis', 'Main', 'append', 'Info', 'next', 'check', 'Request', 'get', 'Service', 'Message', 'Mac', 'contains', 'write', 'Single', 'Connection', 'Time', 'find', 'e', 'Self', 'Network', 'Response', 'Permission', 'Mode', 'To', 'With', 'Bytes', 'Messages', 'Name', 'put', 'Delayed']"
itly-sdk-jvm,['<init>']
analytics-android-integration-mixpanel,"['Next', 'Set', 'value', 'Of', 'add', 'format', 'iterator', 'append', 'String', 'next', 'size', 'get', 'unmodifiable', 'equals', '<init>', 'to', 'has', 'empty', 'put', 'Map', 'contains', 'Key']"
analytics-android-integration-comscore,"['Next', 'Value', 'hash', 'value', 'Of', 'Code', 'clear', 'Empty', 'length', 'iterator', 'next', 'size', 'get', 'equals', 'is', '<init>', 'has', 'empty', 'put', 'Map', 'contains', 'Key', 'trim']"
analytics-helper,"['Sequence', 'Next', 'Char', 'Bundle', 'Value', 'Double', 'value', 'Of', 'add', 'Boolean', 'Array', 'double', 'Float', 'iterator', 'char', 'String', 'next', 'int', 'long', 'short', 'Long', 'Short', '<init>', 'byte', 'to', 'has', 'Parcelable', 'put', 'Serializable', 'float', 'boolean', 'Byte', 'Int']"
